X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-87.41085,30.3146,train,3.191290403759532E-4,70.52385683056123,0.6255462319741473
-82.3045,28.80858,train,2.8462970524357014E-4,52.139336570866796,0.598387396438587
-86.87609,30.70776,train,1.846629954850648E-4,39.11185878918626,0.4915242807995043
-82.46008,27.18079,train,8.589904988148417E-5,14.351419084429113,0.31018257736117666
-81.12565,29.46375,train,3.998518415874964E-4,97.81758093125647,0.6767017680256084
-84.26042,30.52914,train,1.6542579591915005E-4,35.867049725354455,0.4640829929109692
-84.29196,30.52898,train,1.6334902789690614E-4,35.201155201581166,0.46094237137191424
-81.36025,28.90701,train,2.7319573972081884E-4,48.59738421715661,0.5884956372088456
-81.25378,28.72625,train,3.0084514843421007E-4,60.745540563154826,0.6116271499477165
-81.34607,28.83939,train,2.998857193063445E-4,59.93948628037867,0.610868129555483
-85.4870224,32.5936664,train,3.688795511098517E-5,3.077843725234011,0.16184641022740737
-87.5062108,33.19342675,train,3.700247187493634E-5,3.114861277705318,0.16226732388053663
